                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.4724,                0.81837,                 1.0774,                0.63361,                0.08926,                0.11114,                0.05237,                 1.7599,                 1.8299,                 0.8797,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.4669,                0.82398,                 1.0823,                0.48719,                0.14425,                0.15675,                0.07964,                 1.7493,                 1.8234,                0.87192,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.4708,                0.83992,                  1.081,                0.60893,                 0.1042,                0.11905,                 0.0547,                 1.7754,                  1.817,                0.89154,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.4437,                 0.8114,                 1.0748,                0.71266,                0.09895,                0.13433,                0.06642,                 1.7923,                 1.8487,                0.88899,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.4328,                0.80847,                 1.0735,                0.58005,                 0.0915,                0.11829,                0.05947,                 1.7784,                  1.811,                0.90602,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.4234,                 0.7989,                 1.0785,                0.59803,                0.13019,                0.16476,                0.08254,                 1.7579,                 1.7429,                0.88586,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.4368,                  0.803,                 1.0671,                0.67477,                0.15495,                0.18278,                0.09413,                 1.7444,                 1.7268,                0.86934,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.4356,                0.81634,                 1.0795,                 0.6852,                0.14659,                0.17112,                0.08499,                 1.7262,                 1.7606,                0.86705,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.4183,                0.79392,                 1.0752,                0.47029,                0.08805,                0.10457,                0.04921,                 1.7761,                 1.8259,                 0.8977,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.3843,                0.77948,                 1.0532,                0.58896,                0.09256,                0.11299,                0.06058,                 1.7252,                 1.8009,                0.86307,             0.00035208,             0.00035208,             0.00035208
                     71,                  1.391,                0.77739,                 1.0554,                0.58714,                0.11336,                0.13571,                0.06256,                 1.7445,                 1.7104,                0.86226,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.4011,                0.77254,                 1.0536,                0.64427,                0.08931,                 0.1157,                 0.0564,                 1.7479,                  1.767,                0.87303,             0.00033008,             0.00033008,             0.00033008
